USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  3.3  0.1 119912  6148 ?        Ss   23:22   0:02 /sbin/init auto noprompt
root        237  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_27]
root        238  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_28]
root        239  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_28]
root        240  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_29]
root        241  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_29]
root        242  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_30]
root        243  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_30]
root        244  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_31]
root        245  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_31]
root        246  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:5]
root        247  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:6]
root        248  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:7]
root        249  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:8]
root        250  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:9]
root        251  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:10]
root        252  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:11]
root        253  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:12]
root        254  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:13]
root        255  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:14]
root        256  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:15]
root        257  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:16]
root        258  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:17]
root        259  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:18]
root        260  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:19]
root        261  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:20]
root        262  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:21]
root        263  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:22]
root        264  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:23]
root        265  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:24]
root        266  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:25]
root        267  0.3  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:26]
root        268  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:27]
root        269  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:28]
root        270  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:29]
root        271  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:30]
root        272  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_32]
root        273  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_32]
root        274  0.0  0.0      0     0 ?        I<   23:22   0:00 [ttm_swap]
root        275  0.0  0.0      0     0 ?        S    23:22   0:00 [irq/16-vmwgfx]
root        277  0.0  0.0      0     0 ?        I<   23:22   0:00 [kworker/0:1H]
root        278  0.0  0.0      0     0 ?        I<   23:22   0:00 [kworker/1:1H]
root        300  0.2  0.0      0     0 ?        S    23:22   0:00 [jbd2/sda1-8]
root        301  0.0  0.0      0     0 ?        I<   23:22   0:00 [ext4-rsv-conver]
root        334  0.1  0.1  32228  4056 ?        Ss   23:22   0:00 /lib/systemd/systemd-journald
root        351  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/0:3]
root        358  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/1:2]
